 ,COMPANY,WEBSITE,STORE_ID
1,Walmart Grocery Store,https://www.walmart.com/,USA_STORE_001
2,Costco,https://www.costco.com/,USA_STORE_002
3,Sears,https://www.sears.com/,USA_STORE_003
4,Amazon Pantry,https://www.amazon.com/,USA_STORE_004
5,Kmart Online,https://www.kmart.com/,USA_STORE_005
6,Kroger,https://www.kroger.com/,USA_STORE_006
7,Safeway,https://www.safeway.com/,USA_STORE_007
8,ShopRite,https://www.shoprite.com/,USA_STORE_008
9,Instacart,https://www.instacart.com/,USA_STORE_009
10,Peapod,https://www.peapod.com/,USA_STORE_010
11,The Fresh Market,https://www.thefreshmarket.com/,USA_STORE_011
12,FreshDirect,https://www.freshdirect.com/index.jsp,USA_STORE_012
13,Boxed,https://www.boxed.com/,USA_STORE_013
14,Target,https://www.target.com/,USA_STORE_014
15,Vmartgo,https://www.vmartgo.com/,USA_STORE_015
